t;vc_A_capital;vc_A_cuprum;vc_A_habitat;vc_A_planvital;vc_A_provida;vc_A_modelo;vc_A_santa maria;vc_A_magister;vp_A_capital;vp_A_cuprum;vp_A_habitat;vp_A_planvital;vp_A_provida;vp_A_modelo;vp_A_santa maria;vp_A_magister;vp_A_total;uf;ret_vc_A_capital;ret_vc_A_cuprum;ret_vc_A_habitat;ret_vc_A_planvital;ret_vc_A_provida;ret_vc_A_modelo;ret_vc_A_sm;ret_vc_A_magister;pond_vp_A_capital;pond_vp_A_cuprum;pond_vp_A_habitat;pond_vp_A_planvital;pond_vp_A_provida;pond_vp_A_modelo;pond_vp_A_sm;pond_vp_A_magister;ret_pond_A;ret_anual_pond_A;ds_anual_pond_A;ret_riesgo_A
02-09-2009;21014.95000000000000000000;21307.01000000000000000000;21324.74000000000000000000;20348.66000000000000000000;21771.85000000000000000000;;;;2615666602904.00000000000000000000;2636198172539.00000000000000000000;2440782583524.00000000000000000000;212670350521.00000000000000000000;2925256785944.00000000000000000000;;;;10830574495432.00000000000000000000;20911.91000000000000000000;-0.00728046299047161000;-0.00504077906876831000;-0.00728307268383110000;-0.00564670219094964000;-0.00625963728816040000;;;;0.24150765077210000000;0.24340335534840400000;0.22536039843070600000;0.01963610984908490000;0.27009248559970500000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;-0.00642810647271659000;-0.00033100520873224400;0.01430872350374230000;-0.02313310538467480000
03-09-2009;20934.84000000000000000000;21207.93000000000000000000;21259.16000000000000000000;20261.66000000000000000000;21682.81000000000000000000;;;;2607038770926.00000000000000000000;2626793343616.00000000000000000000;2434754569059.00000000000000000000;216530403747.00000000000000000000;2914539339296.00000000000000000000;;;;10799656426644.00000000000000000000;20909.21000000000000000000;-0.00369021110025768000;-0.00453183684965485000;-0.00295091836324064000;-0.00415551038087049000;-0.00396894888389612000;;;;0.24140015829523400000;0.24322934358683800000;0.22544740988724200000;0.02004974928765280000;0.26987333894303300000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;-0.00381280057640049000;-0.00033903021036080300;0.01431011691361050000;-0.02369164503738940000
04-09-2009;21071.98000000000000000000;21321.91000000000000000000;21392.01000000000000000000;20381.23000000000000000000;21819.53000000000000000000;;;;2624939877362.00000000000000000000;2641918849141.00000000000000000000;2450766780203.00000000000000000000;217960469497.00000000000000000000;2934051826751.00000000000000000000;;;;10869637802954.00000000000000000000;20906.50000000000000000000;0.00665905549266418000;0.00548963054425029000;0.00635924286644754000;0.00601356530716639000;0.00641527593995770000;;;;0.24149285605897800000;0.24305491103144400000;0.22546903812535200000;0.02005222928750820000;0.26993096549671800000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00622847538418573000;-0.00029637709497468700;0.01431375107976000000;-0.02070576002916330000
07-09-2009;21306.56000000000000000000;21527.81000000000000000000;21629.81000000000000000000;20587.66000000000000000000;22045.63000000000000000000;;;;2655270093563.00000000000000000000;2668971132167.00000000000000000000;2478457772589.00000000000000000000;220301922239.00000000000000000000;2965756180370.00000000000000000000;;;;10988757100928.00000000000000000000;20898.40000000000000000000;0.01145832503301910000;0.00999791953047234000;0.01144248239340820000;0.01046500230589710000;0.01069647039625680000;;;;0.24163516120842800000;0.24288198452776800000;0.22554486825263400000;0.02004793810761320000;0.26989004790355600000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.01087451456331590000;-0.00023078800970675500;0.01432726811770530000;-0.01610830535247350000
08-09-2009;21423.12000000000000000000;21660.51000000000000000000;21736.69000000000000000000;20705.04000000000000000000;22171.18000000000000000000;;;;2670912229846.00000000000000000000;2686878136963.00000000000000000000;2491072247668.00000000000000000000;221693221345.00000000000000000000;2984566852441.00000000000000000000;;;;11055122688263.00000000000000000000;20895.69000000000000000000;0.00558538956379004000;0.00627488273928234000;0.00505884376876483000;0.00581496512405286000;0.00580853438794100000;;;;0.24159951048590800000;0.24304371943475600000;0.22533194048698500000;0.02005343835581010000;0.26997139123654000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00569916546190727000;-0.00017051859840091500;0.01432036582991650000;-0.01190741915577930000
09-09-2009;21634.95000000000000000000;21849.80000000000000000000;21955.20000000000000000000;20895.67000000000000000000;22383.04000000000000000000;;;;2698753039979.00000000000000000000;2711693590857.00000000000000000000;2517069042196.00000000000000000000;223697378167.00000000000000000000;3014726999416.00000000000000000000;;;;11165940050615.00000000000000000000;20892.99000000000000000000;0.00996857152636934000;0.00883020277760013000;0.01013161892100870000;0.00929403317496492000;0.00963950353367385000;;;;0.24169510383770700000;0.24285403455194500000;0.22542383630811000000;0.02003390463794220000;0.26999312066429700000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00962650912085726000;-0.00005530716428840860;0.01428265837400660000;-0.00387232984505627000
10-09-2009;21735.33000000000000000000;21965.62000000000000000000;22047.58000000000000000000;20989.45000000000000000000;22476.78000000000000000000;;;;2712968602604.00000000000000000000;2728398918904.00000000000000000000;2528812549058.00000000000000000000;225010625908.00000000000000000000;3028427165737.00000000000000000000;;;;11223617862211.00000000000000000000;20890.20000000000000000000;0.00476253113540947000;0.00542028210139817000;0.00433237831780991000;0.00461151659162139000;0.00431279363460457000;;;;0.24171961625122200000;0.24309442395489000000;0.22531171143774500000;0.02004795857007860000;0.26982628978606500000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00470112972554196000;0.00002624758610496340;0.01425121454166970000;0.00184177889036875000
11-09-2009;21884.89000000000000000000;22099.95000000000000000000;22191.16000000000000000000;21112.38000000000000000000;22619.41000000000000000000;;;;2734055079115.00000000000000000000;2747293902525.00000000000000000000;2547395220721.00000000000000000000;226543030795.00000000000000000000;3047517183464.00000000000000000000;;;;11302804416620.00000000000000000000;20887.41000000000000000000;0.00699096151265332000;0.00623040669037320000;0.00662473044152769000;0.00597323211209981000;0.00645917527016656000;;;;0.24189174459170100000;0.24306303119651400000;0.22537727158891900000;0.02004308156141180000;0.26962487106145400000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00655977736213192000;0.00000336581414704069;0.01423604483044370000;0.00023642902134186300
14-09-2009;21943.33000000000000000000;22155.62000000000000000000;22240.51000000000000000000;21177.31000000000000000000;22679.35000000000000000000;;;;2742942343506.00000000000000000000;2757630994623.00000000000000000000;2556042535296.00000000000000000000;227411860807.00000000000000000000;3061517665297.00000000000000000000;;;;11345545399529.00000000000000000000;20879.04000000000000000000;0.00306757671784858000;0.00291664300489086000;0.00262218956518412000;0.00347152738518581000;0.00304723177048282000;;;;0.24176381539312100000;0.24305847780023700000;0.22529040652396600000;0.02004415414145190000;0.26984314614122400000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00293315645148041000;0.00007147984811550270;0.01420902876021000000;0.00503059352766390000
15-09-2009;21917.25000000000000000000;22109.79000000000000000000;22215.43000000000000000000;21129.44000000000000000000;22637.02000000000000000000;;;;2752313481136.00000000000000000000;2761349116486.00000000000000000000;2562929322440.00000000000000000000;222550164367.00000000000000000000;3058996272699.00000000000000000000;;;;11358138357128.00000000000000000000;20876.25000000000000000000;-0.00105558713781272000;-0.00193705629166103000;-0.00099467252051745200;-0.00212936106111925000;-0.00173456384468799000;;;;0.24232082711061000000;0.24311634791392300000;0.22564695391578700000;0.01959389447191710000;0.26932197658776300000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;-0.00146004426314613000;0.00011199689341525100;0.01419007364466100000;0.00789262242182864000
