t;vc_E_capital;vc_E_cuprum;vc_E_habitat;vc_E_planvital;vc_E_provida;vc_E_modelo;vc_E_santa maria;vc_E_magister;vp_E_capital;vp_E_cuprum;vp_E_habitat;vp_E_planvital;vp_E_provida;vp_E_modelo;vp_E_santa maria;vp_E_magister;vp_E_total;uf;ret_vc_E_capital;ret_vc_E_cuprum;ret_vc_E_habitat;ret_vc_E_planvital;ret_vc_E_provida;ret_vc_E_modelo;ret_vc_E_sm;ret_vc_E_magister;pond_vp_E_capital;pond_vp_E_cuprum;pond_vp_E_habitat;pond_vp_E_planvital;pond_vp_E_provida;pond_vp_E_modelo;pond_vp_E_sm;pond_vp_E_magister;ret_pond_E;ret_anual_pond_E;ds_anual_pond_E;ret_riesgo_E
24-01-2011;23512.72000000000000000000;24939.82000000000000000000;21975.74000000000000000000;39722.52000000000000000000;22898.69000000000000000000;25314.60000000000000000000;;;462121182885.00000000000000000000;469159734507.00000000000000000000;592648550077.00000000000000000000;49821619275.00000000000000000000;504439245376.00000000000000000000;545318517.00000000000000000000;;;2078735650637.00000000000000000000;21472.16000000000000000000;-0.00031413931872501900;0.00056981653279832600;-0.00008275703815676370;0.00057472066955053100;0.00033515028949148300;0.00031845789982431800;;;0.22230877829193400000;0.22569475554202000000;0.28510048879730900000;0.02396727032594690000;0.24266637521775400000;0.00026233182503648100;0.00000000000000000000;0.00000000000000000000;0.00013036233607975400;0.00019610805434394300;0.00106374571839633000;0.18435613977331800000
25-01-2011;23531.92000000000000000000;24951.24000000000000000000;21986.61000000000000000000;39748.37000000000000000000;22922.12000000000000000000;25336.70000000000000000000;;;462125120229.00000000000000000000;467263351694.00000000000000000000;592174292524.00000000000000000000;49830215348.00000000000000000000;503941432946.00000000000000000000;545794669.00000000000000000000;;;2075880207410.00000000000000000000;21472.85000000000000000000;0.00078411194430490700;0.00042566333951377900;0.00046237994829107700;0.00061841857944750300;0.00099054540477859500;0.00084049901929213400;;;0.22261646822365400000;0.22509167437796800000;0.28526419318908300000;0.02400437904370760000;0.24276036312073600000;0.00026292204485198500;0.00000000000000000000;0.00000000000000000000;0.00065780085030288400;0.00019779777180892100;0.00106414376884639000;0.18587504583459400000
26-01-2011;23529.79000000000000000000;24946.46000000000000000000;21988.19000000000000000000;39749.00000000000000000000;22924.29000000000000000000;25330.93000000000000000000;;;461475980931.00000000000000000000;466171462301.00000000000000000000;591812099943.00000000000000000000;49646728304.00000000000000000000;504545450008.00000000000000000000;573605397.00000000000000000000;;;2074225326884.00000000000000000000;21473.55000000000000000000;-0.00012311822211405600;-0.00022419077210158300;0.00003926056336250390;-0.00001674919335286300;0.00006206512640132470;-0.00026035760275390800;;;0.22248112341018000000;0.22474485113018300000;0.28531716987182300000;0.02393506995625290000;0.24324524605335500000;0.00027653957820566100;0.00000000000000000000;0.00000000000000000000;-0.00005195133459620440;0.00019768600264123400;0.00106416862635261000;0.18576567448600100000
27-01-2011;23535.70000000000000000000;24947.11000000000000000000;21991.48000000000000000000;39765.16000000000000000000;22939.29000000000000000000;25333.16000000000000000000;;;460014826574.00000000000000000000;464487654944.00000000000000000000;591357513709.00000000000000000000;49596407344.00000000000000000000;504432506685.00000000000000000000;573772920.00000000000000000000;;;2070462682176.00000000000000000000;21474.24000000000000000000;0.00021900738675127300;-0.00000607657587315548;0.00011748254603242400;0.00037433645116408000;0.00062198177281011700;0.00005589875514526920;;;0.22217972365990000000;0.22434002744538100000;0.28561611798165800000;0.02395426286644080000;0.24363274500309000000;0.00027712304353004800;0.00000000000000000000;0.00000000000000000000;0.00024136826143454700;0.00019622270395652400;0.00106385473682705000;0.18444501600073700000
28-01-2011;23499.77000000000000000000;24912.55000000000000000000;21950.19000000000000000000;39708.99000000000000000000;22889.48000000000000000000;25284.55000000000000000000;;;457758015816.00000000000000000000;462854569895.00000000000000000000;588683869344.00000000000000000000;49540790122.00000000000000000000;502729470088.00000000000000000000;574213307.00000000000000000000;;;2062140928572.00000000000000000000;21474.93000000000000000000;-0.00155991448376594000;-0.00141842226880630000;-0.00191144110652564000;-0.00144567262467320000;-0.00220587555959152000;-0.00195280323398345000;;;0.22198192639190300000;0.22445341318913600000;0.28547218145350200000;0.02402395948578850000;0.24379006455011400000;0.00027845492955597100;0.00000000000000000000;0.00000000000000000000;-0.00178335089740397000;0.00018219552654918100;0.00106675211071363000;0.17079462484240800000
31-01-2011;23376.38000000000000000000;24805.53000000000000000000;21823.39000000000000000000;39590.36000000000000000000;22799.43000000000000000000;25295.14000000000000000000;;;454168788206.00000000000000000000;459822907439.00000000000000000000;584208023258.00000000000000000000;49314261851.00000000000000000000;500644645133.00000000000000000000;575798863.00000000000000000000;;;2048734424750.00000000000000000000;21477.01000000000000000000;-0.00536137543852192000;-0.00440193281240079000;-0.00589031756512205000;-0.00308880857386509000;-0.00403873315033606000;0.00032189272295852500;;;0.22168260693985300000;0.22444241766236300000;0.28515556540681900000;0.02407059756269660000;0.24436776142622400000;0.00028105100204496400;0.00000000000000000000;0.00000000000000000000;-0.00491735614130833000;0.00015498745240442000;0.00110906092972177000;0.13974656238526200000
01-02-2011;23390.01000000000000000000;24808.80000000000000000000;21833.37000000000000000000;39593.22000000000000000000;22800.11000000000000000000;25287.31000000000000000000;;;453539373070.00000000000000000000;458689479689.00000000000000000000;583131808169.00000000000000000000;49140745223.00000000000000000000;499355391262.00000000000000000000;760332679.00000000000000000000;;;2044617130092.00000000000000000000;21477.70000000000000000000;0.00055077040280290200;0.00009968989448977770;0.00042507610928428500;0.00004011033764146000;-0.00000230199879141521;-0.00034172040833136600;;;0.22182117443650300000;0.22434003556859600000;0.28520342492814800000;0.02403420400805740000;0.24422929061517300000;0.00037187044352200400;0.00000000000000000000;0.00000000000000000000;0.00026604486307935800;0.00015978856487362200;0.00110692270283618000;0.14435385999782000000
02-02-2011;23426.38000000000000000000;24842.78000000000000000000;21870.87000000000000000000;39610.30000000000000000000;22832.61000000000000000000;25293.37000000000000000000;;;453376752501.00000000000000000000;461479459815.00000000000000000000;582610020540.00000000000000000000;49166340432.00000000000000000000;499903455025.00000000000000000000;1569605682.00000000000000000000;;;2048105633995.00000000000000000000;21478.39000000000000000000;0.00152160385061040000;0.00133661229800291000;0.00168395522875535000;0.00039916814041840700;0.00139229092704831000;0.00020749135408286500;;;0.22136394967902700000;0.22532014567766500000;0.28446287675288100000;0.02400576396838330000;0.24408089442627900000;0.00076636949576587700;0.00000000000000000000;0.00000000000000000000;0.00146658963059584000;0.00015967882460036500;0.00110679124763906000;0.14427185337883900000
03-02-2011;23456.65000000000000000000;24838.72000000000000000000;21889.86000000000000000000;39646.45000000000000000000;22841.54000000000000000000;25297.81000000000000000000;;;453696641587.00000000000000000000;461281802650.00000000000000000000;583684642460.00000000000000000000;49219559998.00000000000000000000;502464288904.00000000000000000000;1553543944.00000000000000000000;;;2051900479543.00000000000000000000;21479.09000000000000000000;0.00125870860523528000;-0.00019603148640223300;0.00083531111506486000;0.00087963483886180600;0.00035844045171198400;0.00014293430089876000;;;0.22111045155954500000;0.22480710309728900000;0.28446050297234600000;0.02398730371609550000;0.24487751424275200000;0.00075712441197245900;0.00000000000000000000;0.00000000000000000000;0.00058083967134809300;0.00015887889742423100;0.00110641272048467000;0.14359822016022500000
04-02-2011;23472.36000000000000000000;24841.02000000000000000000;21897.91000000000000000000;39669.88000000000000000000;22847.62000000000000000000;25281.67000000000000000000;;;452991395341.00000000000000000000;461911640113.00000000000000000000;584144782209.00000000000000000000;49041603399.00000000000000000000;503784782300.00000000000000000000;1553430310.00000000000000000000;;;2053427633672.00000000000000000000;21479.78000000000000000000;0.00063739817628279800;0.00006046932724501280;0.00033555882852429500;0.00055867516067974700;0.00023402253222152100;-0.00067032724864394400;;;0.22060256125556600000;0.22494663680306900000;0.28447303066844100000;0.02388280092992730000;0.24533846435051500000;0.00075650599248151200;0.00000000000000000000;0.00000000000000000000;0.00031992182868411400;0.00015467182913769100;0.00110377906847924000;0.14012933706995700000
