t;vc_C_capital;vc_C_cuprum;vc_C_habitat;vc_C_planvital;vc_C_provida;vc_C_modelo;vc_C_santa maria;vc_C_magister;vp_C_capital;vp_C_cuprum;vp_C_habitat;vp_C_planvital;vp_C_provida;vp_C_modelo;vp_C_santa maria;vp_C_magister;vp_C_total;uf;ret_vc_C_capital;ret_vc_C_cuprum;ret_vc_C_habitat;ret_vc_C_planvital;ret_vc_C_provida;ret_vc_C_modelo;ret_vc_C_sm;ret_vc_C_magister;pond_vp_C_capital;pond_vp_C_cuprum;pond_vp_C_habitat;pond_vp_C_planvital;pond_vp_C_provida;pond_vp_C_modelo;pond_vp_C_sm;pond_vp_C_magister;ret_pond_C;ret_anual_pond_C;ds_anual_pond_C;ret_riesgo_C
19-06-2012;23923.41000000000000000000;27447.15000000000000000000;26708.29000000000000000000;49411.66000000000000000000;23780.63000000000000000000;26862.33000000000000000000;;;6089379009097.00000000000000000000;5231792548473.00000000000000000000;7313099813314.00000000000000000000;946759978404.00000000000000000000;9201401886723.00000000000000000000;54264912916.00000000000000000000;;;28836698148927.00000000000000000000;22627.36000000000000000000;0.00271525292940259000;0.00274795508405003000;0.00264649849785352000;0.00242645851116320000;0.00262448167893136000;0.00237342030999457000;;;0.21116769255788000000;0.18142828008440600000;0.25360392426156200000;0.03283177475848530000;0.31908652784040700000;0.00188180049726044000;0.00000000000000000000;0.00000000000000000000;0.00266466085419919000;-0.00009660798325551890;0.00306968137515382000;-0.03147166479148920000
20-06-2012;23949.59000000000000000000;27471.74000000000000000000;26735.83000000000000000000;49456.50000000000000000000;23807.23000000000000000000;26910.02000000000000000000;;;6094218572951.00000000000000000000;5232138228859.00000000000000000000;7320103293190.00000000000000000000;947486059141.00000000000000000000;9210725855071.00000000000000000000;54347932797.00000000000000000000;;;28859019942009.00000000000000000000;22627.36000000000000000000;0.00109372726212256000;0.00089550249989682800;0.00103060925833002000;0.00090706660414058600;0.00111793229493102000;0.00177377453296436000;;;0.21117205591863800000;0.18129992769583900000;0.25365044647737300000;0.03283153970734050000;0.31916280849382900000;0.00188322170698138000;0.00000000000000000000;0.00000000000000000000;0.00104465688644949000;-0.00010490818586705800;0.00306374942163113000;-0.03424176439703900000
21-06-2012;23994.47000000000000000000;27520.72000000000000000000;26787.18000000000000000000;49553.32000000000000000000;23850.22000000000000000000;26960.45000000000000000000;;;6103750471351.00000000000000000000;5239780874120.00000000000000000000;7329771955786.00000000000000000000;949299101545.00000000000000000000;9226463983122.00000000000000000000;54251287916.00000000000000000000;;;28903317673840.00000000000000000000;22627.36000000000000000000;0.00187218241880013000;0.00178133558497889000;0.00191880149322803000;0.00195576622322006000;0.00180412555269195000;0.00187226934279249000;;;0.21117819553550500000;0.18128648528339900000;0.25359621474942600000;0.03284394934371830000;0.31921816336927800000;0.00187699171867395000;0.00000000000000000000;0.00000000000000000000;0.00184855593399780000;-0.00010429053475927200;0.00306412910776730000;-0.03403594662343210000
22-06-2012;23921.22000000000000000000;27446.06000000000000000000;26712.43000000000000000000;49420.39000000000000000000;23782.96000000000000000000;26873.11000000000000000000;;;6083243589129.00000000000000000000;5224197389672.00000000000000000000;7311045186931.00000000000000000000;946737469668.00000000000000000000;9199534402037.00000000000000000000;53907620405.00000000000000000000;;;28818665657842.00000000000000000000;22627.36000000000000000000;-0.00305745600499395000;-0.00271655155764013000;-0.00279441471225761000;-0.00268616948742781000;-0.00282408374592613000;-0.00324481890599343000;;;0.21108692752655800000;0.18127825388232100000;0.25369131498777600000;0.03285153729559920000;0.31922138628002900000;0.00187058002771655000;0.00000000000000000000;0.00000000000000000000;-0.00284258187894900000;-0.00010917642842675200;0.00306752941741470000;-0.03559099639173640000
25-06-2012;23939.71000000000000000000;27468.29000000000000000000;26722.94000000000000000000;49415.93000000000000000000;23795.16000000000000000000;26868.42000000000000000000;;;6087084318668.00000000000000000000;5230538820174.00000000000000000000;7312396223335.00000000000000000000;946759910670.00000000000000000000;9204104140637.00000000000000000000;53985270912.00000000000000000000;;;28834868684396.00000000000000000000;22627.36000000000000000000;0.00077265531279364200;0.00080962448665224000;0.00039337240990480900;-0.00009025022386565300;0.00051284078763060400;-0.00017453913247016500;;;0.21110150995631300000;0.18139631143888300000;0.25359561381641100000;0.03283385546272110000;0.31920048748541000000;0.00187222184026155000;0.00000000000000000000;0.00000000000000000000;0.00057013810711648900;-0.00010562841570446900;0.00306780119020671000;-0.03443131062132220000
26-06-2012;23925.16000000000000000000;27459.84000000000000000000;26707.38000000000000000000;49380.09000000000000000000;23788.63000000000000000000;26829.11000000000000000000;;;6084259027203.00000000000000000000;5228137560295.00000000000000000000;7309406448247.00000000000000000000;946051295538.00000000000000000000;9202452645825.00000000000000000000;53818470661.00000000000000000000;;;28824125447769.00000000000000000000;22627.36000000000000000000;-0.00060796155711535400;-0.00030767477671858700;-0.00058244084781367100;-0.00072553533173079100;-0.00027446321703208700;-0.00146412719625272000;;;0.21108217275240600000;0.18138061360330600000;0.25358640842346000000;0.03282150909495240000;0.31926216330484600000;0.00186713282102946000;0.00000000000000000000;0.00000000000000000000;-0.00044600777378217500;-0.00012347698959521900;0.00305668462764618000;-0.04039572433427750000
27-06-2012;23966.66000000000000000000;27509.41000000000000000000;26751.50000000000000000000;49435.85000000000000000000;23827.79000000000000000000;26869.07000000000000000000;;;6093593154780.00000000000000000000;5234824558164.00000000000000000000;7318989016309.00000000000000000000;947087424077.00000000000000000000;9216320805034.00000000000000000000;54482482456.00000000000000000000;;;28865297440820.00000000000000000000;22627.36000000000000000000;0.00173307301277119000;0.00180355429396635000;0.00165061482833843000;0.00112856298120022000;0.00164481113148092000;0.00148831887323769000;;;0.21110446435804700000;0.18135356370037400000;0.25355668103938600000;0.03281058946365370000;0.31928722799165400000;0.00188747344688551000;0.00000000000000000000;0.00000000000000000000;0.00167647003189438000;-0.00012510719502168200;0.00305561107613927000;-0.04094342895881670000
28-06-2012;24000.60000000000000000000;27527.91000000000000000000;26796.37000000000000000000;49495.55000000000000000000;23866.11000000000000000000;26902.61000000000000000000;;;6099580639106.00000000000000000000;5235962348852.00000000000000000000;7330289184586.00000000000000000000;948284084166.00000000000000000000;9231330810074.00000000000000000000;54120556232.00000000000000000000;;;28899567623016.00000000000000000000;22627.36000000000000000000;0.00141513214071500000;0.00067227113154327000;0.00167588404550070000;0.00120689704677359000;0.00160691443751683000;0.00124749698539150000;;;0.21106131132038800000;0.18117787840818800000;0.25364701922903700000;0.03281308898928900000;0.31942799042855000000;0.00187271162454686000;0.00000000000000000000;0.00000000000000000000;0.00140079496722322000;-0.00012395033368006000;0.00305613587269876000;-0.04055786092082480000
29-06-2012;24051.64000000000000000000;27596.69000000000000000000;26845.05000000000000000000;49578.28000000000000000000;23907.00000000000000000000;26938.95000000000000000000;;;6103788869771.00000000000000000000;5243241794144.00000000000000000000;7333729219811.00000000000000000000;948192023464.00000000000000000000;9238067414370.00000000000000000000;52681124934.00000000000000000000;;;28919700446494.00000000000000000000;22627.36000000000000000000;0.00212435545959180000;0.00249543890358639000;0.00181501583529309000;0.00167006805386864000;0.00171184207958620000;0.00134988679816160000;;;0.21105989258305000000;0.18130346141879400000;0.25358939085069500000;0.03278706241160090000;0.31943855820574200000;0.00182163453011792000;0.00000000000000000000;0.00000000000000000000;0.00196511069784136000;-0.00012414233298944400;0.00305600257922264000;-0.04062245687666350000
03-07-2012;24197.78000000000000000000;27743.14000000000000000000;27023.37000000000000000000;49868.15000000000000000000;24064.03000000000000000000;27129.42000000000000000000;;;6138707481072.00000000000000000000;5275461921845.00000000000000000000;7380481776540.00000000000000000000;950577669414.00000000000000000000;9284512321494.00000000000000000000;54348938931.00000000000000000000;;;29084090109296.00000000000000000000;22627.36000000000000000000;0.00605770792244632000;0.00529276442950758000;0.00662060076565500000;0.00582968782171104000;0.00654689135846330000;0.00704555317304302000;;;0.21106754442044300000;0.18138652101613600000;0.25376354387586700000;0.03268376854293170000;0.31922993934496300000;0.00186868279965990000;0.00000000000000000000;0.00000000000000000000;0.00621235457804444000;-0.00010658342489611500;0.00307975184846591000;-0.03460779638762330000
